!tags;Name;Level;School;Element;Casting time;Concentration;Ritual;Duration;Components;Classes;!href
no conc,no concentration,no ritual,Warlock*,Wizard*;Lightning Lure;0;Evocation;Air;1 action;;;Instantaneous;V, S;Warlock, Wizard;#!spells/Cantrips/Lightning Lure.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Mage Hand;0;Conjuration (Creation);Aether;1 action;;;1 minute;V, S;Bard, Warlock, Wizard;#!spells/Cantrips/Mage Hand.md
no conc,no concentration,no ritual,Wizard*;Magic Bolt;0;Evocation;Aether;1 action;;;Instantaneous;V, S;Warlock (Seeker), Wizard;#!spells/Cantrips/Magic Bolt.md
no conc,no concentration,no ritual,Druid*,Warlock*;Magic Stone;0;Transmutation;Earth;1 bonus action;;;1 minute;V, S, M (one to three pebbles);Druid, Sorcerer (Earth Elemental), Warlock;#!spells/Cantrips/Magic Stone.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Minor Illusion;0;Illusion (Figment);Darkness;1 action;;;1 minute;S;Bard, Warlock, Wizard;#!spells/Cantrips/Minor Illusion.md
no conc,no concentration,no ritual,Warlock*,Wizard*;On/Off;0;Transmutation;Aether;1 action;;;Instantaneous;S;Warlock, Wizard;#!spells/Cantrips/On-Off.md
no conc,no concentration,no ritual,Druid*,Warlock*,Wizard*;Poison Spray;0;Conjuration (Creation);Darkness;1 action;;;Instantaneous;V, S;Druid, Warlock, Wizard;#!spells/Cantrips/Poison Spray.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Prestidigitation;0;Transmutation;Aether;1 action;;;Up to 1 hour;V, S;Bard, Warlock, Wizard;#!spells/Cantrips/Prestidigitation.md
no conc,no concentration,no ritual,Wizard*;Ray of Frost;0;Evocation;Water;1 action;;;Instantaneous/1 round;V, S;Warlock (Undying), Warlock (Void), Wizard;#!spells/Cantrips/Ray of Frost.md
no conc,no concentration,no ritual,Cleric*,Druid*;Resistance;0;Abjuration;Earth;1 reaction;;;Instantaneous;V, S;Cleric, Druid, Sorcerer (Earth Elemental), Warlock (Void);#!spells/Cantrips/Resistance.md
no conc,no concentration,no ritual,Cleric*;Sacred Flame;0;Evocation;Light;1 action;;;Instantaneous;V, S;Cleric, Warlock (Aeonian Flame);#!spells/Cantrips/Sacred Flame.md
no conc,no concentration,no ritual,Cleric*;Spare the Dying;0;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Cleric, Sorcerer (Angel), Warlock (Undying);#!spells/Cantrips/Spare the Dying.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Sword Burst;0;Illusion (Shadow);Darkness;1 action;;;Instantaneous;V, S;Warlock, Wizard;#!spells/Cantrips/Sword Burst.md
no conc,no concentration,no ritual,Cleric*;Thaumaturgy;0;Transmutation;Aether;1 action;;;Up to 1 minute;V;Cleric, Sorcerer (Roaring Rampage), Warlock (Great Old One);#!spells/Cantrips/Thaumaturgy.md
no conc,no concentration,no ritual,Druid*;Thorn Whip;0;Transmutation;Earth;1 action;;;Instantaneous;V, S;Druid, Warlock (Archfey);#!spells/Cantrips/Thorn Whip.md
no conc,no concentration,no ritual,Bard*,Druid*,Warlock*,Wizard*;Thunderclap;0;Evocation;Air;1 action;;;Instantaneous;S;Bard, Druid, Warlock, Wizard;#!spells/Cantrips/Thunderclap.md
no conc,no concentration,no ritual,Cleric*,Warlock*,Wizard*;Toll the Dead;0;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric, Warlock, Wizard;#!spells/Cantrips/Toll the Dead.md
no ritual,Bard*,Warlock*,Wizard*;True Strike;0;Divination;Aether;1 action;Concentration;;Concentration, up to 1 round;S;Bard, Warlock, Wizard;#!spells/Cantrips/True Strike.md
no conc,no concentration,no ritual,Bard*;Vicious Mockery;0;Enchantment (Compulsion);Darkness;1 action;;;Instantaneous;V;Bard, Sorcerer (Darkness Elemental), Warlock (Great Old One);#!spells/Cantrips/Vicious Mockery.md
no conc,no concentration,no ritual,Warlock*;Armor of the Abyss;1;Abjuration;Water;1 action;;;1 hour;V, S, F;Warlock, Paladin (Conquest);#!spells/Level1/Armor of the Abyss.md
no conc,no concentration,no ritual,Warlock*;Arms from Beyond;1;Conjuration (Creation);Death;1 action;;;Instantaneous;V, S;Warlock;#!spells/Level1/Arms from Beyond.md
no ritual,Bard*,Cleric*;Bane;1;Evocation;Death;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric, Paladin (Vengeance), Sorcerer (Efreeti), Warlock (Fiend), Warlock (Undying), Warlock (Void);#!spells/Level1/Bane.md
no conc,no concentration,no ritual,Wizard*;Burning Hands;1;Evocation;Fire;1 action;;;Instantaneous;V, S;Cleric (Light), Warlock (Aeonian Flame), Warlock (Fiend), Wizard;#!spells/Level1/Burning Hands.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Cause Fear;1;Enchantment (Compulsion);Death;1 action;;;1 minute;V;Warlock, Wizard;#!spells/Level1/Cause Fear.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Cauterize Wounds;1;Transmutation;Fire;1 action;;;1d6 - 2 rounds;V, S;Warlock, Wizard;#!spells/Level1/Cauterize Wounds.md
no conc,no concentration,no ritual,Bard*,Druid*,Warlock*,Wizard*;Charm Person;1;Enchantment (Charm);Darkness;1 action;;;1 hour;V, S;Bard, Cleric (Trickery), Druid, Paladin (Treachery), Warlock, Wizard;#!spells/Level1/Charm Person.md
no conc,no concentration,no ritual,Cleric*,Warlock*;Command;1;Enchantment (Compulsion);Aether;1 action;;;1 round;V;Cleric, Cleric (Knowledge), Paladin (Crown), Paladin (Conquest), Warlock;#!spells/Level1/Command.md
no ritual,Bard*,Warlock*,Wizard*;Comprehend Languages;1;Divination;Aether;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Bard, Warlock, Wizard;#!spells/Level1/Comprehend Languages.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*;Cure Wounds;1;Necromancy (White);Light;1 action;;;Instantaneous;V, S;Bard, Cleric, Druid, Paladin, Ranger, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level1/Cure Wounds.md
Bard*,Cleric*,Druid*,Paladin*,Ranger*,Sorcerer*,Wizard*;Detect Magic;1;Divination;Aether;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Bard, Cleric, Cleric (Arcana), Druid, Paladin, Ranger, Sorcerer, Warlock (Seeker), Wizard;#!spells/Level1/Detect Magic.md
no conc,no concentration,no ritual,Bard*;Dissonant Whispers;1;Enchantment (Compulsion);Darkness;1 action;;;Instantaneous;V;Bard, Warlock (Great Old One);#!spells/Level1/Dissonant Whispers.md
no ritual,Warlock*,Wizard*;Expeditious Retreat;1;Transmutation;Air;1 bonus action;Concentration;;Concentration, up to 10 minutes;V, S;Paladin (Treachery), Warlock, Wizard;#!spells/Level1/Expeditious Retreat.md
no ritual,Bard*,Druid*;Faerie Fire;1;Evocation;Light;1 action;Concentration;;Concentration, up to 10 minutes;V;Bard, Cleric (Light), Druid, Warlock (Archfey);#!spells/Level1/Faerie Fire.md
no conc,no concentration,no ritual,Wizard*;False Life;1;Necromancy (Black);Death;1 action;;;1 minute;V, S, F;Cleric (Death), Cleric (Grave), Warlock (Undying), Wizard;#!spells/Level1/False Life.md
no conc,no concentration,no ritual,Bard*,Wizard*;Feather Fall;1;Transmutation;Air;1 reaction;;;1 minute;V, F;Bard, Warlock (Seeker), Wizard;#!spells/Level1/Feather Fall.md
no ritual,Druid*,Ranger*,Wizard*;Fog Cloud;1;Conjuration (Creation);Air;1 action;Concentration;;1 hour;V, S;Cleric (Tempest), Druid, Ranger, Warlock (Void), Wizard;#!spells/Level1/Fog Cloud.md
no conc,no concentration,no ritual,Cleric*;Guiding Bolt;1;Evocation;Light;1 action;;;1 round;V, S;Cleric, Cleric (Solidarity), Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level1/Guiding Bolt.md
no conc,no concentration,no ritual,Warlock*;Hellish Rebuke;1;Evocation;Fire;1 reaction;;;Instantaneous;V, S;Paladin (Oathbreaker), Warlock;#!spells/Level1/Hellish Rebuke.md
no ritual,Warlock*;Hex;1;Necromancy (Black);Death;1 bonus action;Concentration;;Concentration, up to 1 hour;V, S, F;Warlock;#!spells/Level1/Hex.md
no ritual,Bard*,Wizard*;Hideous Laughter;1;Enchantment (Compulsion);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Warlock (Great Old One), Wizard;#!spells/Level1/Hideous Laughter.md
no conc,no concentration,Bard*,Wizard*;Identify;1;Divination;Water;1 minute;;Ritual;Instantaneous;V, S, M (a mystic quartz worth at least 100 gp);Bard, Cleric (Knowledge), Warlock (Seeker), Wizard;#!spells/Level1/Identify.md
no conc,no concentration,Bard*,Warlock*,Wizard*;Illusory Script;1;Illusion (Phantasm);Darkness;1 minute;;Ritual;10 days;S, M (an amethyst-based ink worth at least 10 gp, which the spell consumes);Bard, Warlock, Wizard;#!spells/Level1/Illusory Script.md
no ritual,Wizard*;Infallible Relay;1;Divination;Aether;1 minute;Concentration;;Concentration, up to 10 minutes;V, S, M (a mobile phone);Warlock (Ghost in the Machine), Wizard;#!spells/Level1/Infallible Relay.md
no conc,no concentration,no ritual,Cleric*;Inflict Wounds;1;Necromancy (Black);Death;1 action;;;Instantaneous;V, S;Cleric, Paladin (Oathbreaker), Sorcerer (Desire Demon), Warlock (Fiend);#!spells/Level1/Inflict Wounds.md
no ritual,Cleric*,Paladin*,Warlock*,Wizard*;Protection from Evil or Good;1;Abjuration;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, M (holy/unholy water, depending on target alignment, or powdered silver and iron, which the spell consumes);Cleric, Cleric (Protection), Paladin, Paladin (Devotion), Warlock, Wizard;#!spells/Level1/Protection from Evil or Good.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Puppet;1;Enchantment (Compulsion);Darkness;1 action;;;Instantaneous / 1 round;S;Bard, Warlock, Wizard;#!spells/Level1/Puppet.md
no conc,no concentration,no ritual,Wizard*;Ray of Sickness;1;Necromancy (Black);Death;1 action;;;Instantaneous / 1 round;V, S;Cleric (Death), Warlock (Undying), Wizard;#!spells/Level1/Ray of Sickness.md
no ritual,Wizard*;Remote Access;1;Transmutation;Aether;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Cleric (City), Warlock (Ghost in the Machine), Wizard;#!spells/Level1/Remote Access.md
no conc,no concentration,no ritual,Cleric*;Sanctuary;1;Abjuration;Light;1 bonus action;;;1 minute;V, S, F;Cleric, Paladin (Devotion), Warlock (Great Old One);#!spells/Level1/Sanctuary.md
no ritual,Warlock*,Wizard*;Sense Emotion;1;Divination;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S;Warlock, Wizard;#!spells/Level1/Sense Emotion.md
no ritual,Bard*,Wizard*;Silent Image;1;Illusion (Figment);Light;1 action;Concentration;;Concentration, up to 10 minute;V, S, F;Bard, Warlock (Archfey), Wizard;#!spells/Level1/Silent Image.md
no conc,no concentration,no ritual,Bard*,Wizard*;Sleep;1;Enchantment (Compulsion);Darkness;1 action;;;1 minute;V, S, F;Bard, Warlock (Archfey), Warlock (Void), Wizard;#!spells/Level1/Sleep.md
no conc,no concentration,Cleric*,Druid*,Warlock*,Wizard*;Soil Food and Drink;1;Transmutation;Death;1 action;;Ritual;Instantaneous;V, S;Cleric, Druid, Sorcerer (Darkness Elemental), Warlock, Wizard;#!spells/Level1/Soil Food and Drink.md
no conc,no concentration,Bard*,Warlock*,Wizard*;Unseen Servant;1;Conjuration;Aether;1 action;;Ritual;1 hour;V, S, F;Bard, Warlock, Wizard;#!spells/Level1/Unseen Servant.md
no ritual,Warlock*,Wizard*;Witch Bolt;1;Evocation;Air;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Warlock, Wizard;#!spells/Level1/Witch Bolt.md
no ritual,Warlock*,Wizard*;Arcane Hacking;2;Transmutation;Aether;1 action;Concentration;;Concentration, up to 1 hour;V, S, M (hacking tools);Warlock, Wizard, Warlock (Ghost in the Machine);#!spells/Level2/Arcane Hacking.md
no conc,no concentration,Cleric*;Augury;2;Divination;Aether;1 minute;;Ritual;Instantaneous;V, S, F, M (a holy symbol worth at least 25 gp);Cleric, Cleric (Knowledge), Warlock (Seeker);#!spells/Level2/Augury.md
no conc,no concentration,no ritual,Wizard*;Blazing Burst;2;Evocation;Fire;1 action;;;Instantaneous;V, S, F;Warlock (Fiend), Wizard;#!spells/Level2/Blazing Burst.md
no conc,no concentration,no ritual,Bard*,Cleric*,Wizard*;Blindness/Deafness;2;Necromancy (Black);Death;1 action;;;1 minute;V;Bard, Cleric, Cleric (Death), Warlock (Great Old One), Warlock (Undying), Warlock (Void), Wizard;#!spells/Level2/Blindness-Deafness.md
no ritual,Wizard*;Blur;2;Illusion (Glamer);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S;Druid (Desert), Warlock (Void), Wizard;#!spells/Level2/Blur.md
no ritual,Bard*,Cleric*;Calm Emotions;2;Enchantment (Compulsion);Water;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Cleric, Sorcerer (Water Elemental), Warlock (Archfey);#!spells/Level2/Calm Emotions.md
no ritual,Bard*,Warlock*,Wizard*;Cloud of Daggers;2;Illusion (Shadow);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Warlock, Wizard;#!spells/Level2/Cloud of Daggers.md
no conc,no concentration,no ritual,Wizard*;Cold Nova;2;Evocation;Water;1 action;;;Instantaneous;V, S, F;Warlock (Fiend), Wizard;#!spells/Level2/Cold Nova.md
no ritual,Bard*,Warlock*,Wizard*;Crown of Madness;2;Enchantment (Compulsion);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Paladin (Oathbreaker), Warlock, Wizard;#!spells/Level2/Crown of Madness.md
no ritual,Warlock*,Wizard*;Darkness;2;Evocation;Darkness;1 action;Concentration;;Concentration, up to 10 minutes;V, F;Warlock, Wizard, Druid (Swamp), Paladin (Oathbreaker);#!spells/Level2/Darkness.md
no ritual,Bard*,Wizard*;Detect Thoughts;2;Divination;Aether;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Warlock (Great Old One), Wizard;#!spells/Level2/Detect Thoughts.md
no ritual,Warlock*,Wizard*;Digital Phantom;2;Abjuration;Aether;1 action;Concentration;;Concentration, up to 1 minute;V, S, F (an opal worth at least 50 gp);Warlock, Wizard, Warlock (Ghost in the Machine);#!spells/Level2/Digital Phantom.md
no ritual,Druid*,Warlock*,Wizard*;Earthbind;2;Evocation;Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S;Druid, Warlock, Wizard;#!spells/Level2/Earthbind.md
no ritual,Bard*,Warlock*;Enthrall;2;Enchantment;Darkness;1 action;Concentration;;Concentration, 1 minute;V, S;Bard, Sorcerer (Desire Demon), Warlock;#!spells/Level2/Enthrall.md
no ritual,Druid*,Wizard*;Flaming Sphere;2;Conjuration;Fire;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Cleric (Light), Druid, Wizard, Warlock (Eternal Flame);#!spells/Level2/Flaming Sphere.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*;Healing Word;2;Necromancy (White);Light;1 reaction;;;Instantaneous;V;Bard, Cleric, Druid, Warlock (Aeonian Flame);#!spells/Level2/Healing Word.md
no ritual,Bard*,Cleric*,Druid*,Warlock*,Wizard*;Hold Person;2;Enchantment;Earth;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Cleric, Druid, Warlock, Wizard, Druid (Arctic), Paladin (Vengeance), Paladin (Conquest);#!spells/Level2/Hold Person.md
no ritual,Bard*,Warlock*,Wizard*;Invisibility;2;Illusion (Glamer);Darkness;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Bard, Warlock, Wizard, Druid (Grassland), Paladin (Treachery);#!spells/Level2/Invisibility.md
no conc,no concentration,no ritual,Wizard*;Khaalt's Acid Arrow;2;Evocation;Darkness;1 action;;;Instantaneous;V, S, F;Druid (Swamp), Warlock (Undying), Wizard;#!spells/Level2/Khaalts Acid Arrow.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*;Lesser Restoration;2;Abjuration;Light;1 action;;;Instantaneous;V, S, F;Bard, Cleric, Cleric (Life), Druid, Paladin, Paladin (Devotion), Ranger, Warlock (Aeonian Flame);#!spells/Level2/Lesser Restoration.md
no ritual,Wizard*;Levitate;2;Transmutation;Air;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Wizard, Warlock (Seeker);#!spells/Level2/Levitate.md
no ritual,Bard*,Cleric*,Druid*,Paladin*,Ranger*,Wizard*;Locate Object;2;Divination;Water;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Bard, Cleric, Druid, Paladin, Ranger, Wizard, Warlock (Seeker);#!spells/Level2/Locate Object.md
no ritual,Warlock*,Wizard*;Mind Spike;2;Divination;Darkness;1 action;Concentration;;Concentration, up to 1 hour;S;Warlock, Wizard;#!spells/Level2/Mind Spike.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Mirror Image;2;Illusion (Figment);Darkness;1 action;;;1 minute;V, S;Warlock, Wizard, Cleric (Ambition), Cleric (Trickery), Druid (Coast), Paladin (Treachery);#!spells/Level2/Mirror Image.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Misty Step;2;Conjuration (Teleportation);Air;1 bonus action;;;Instantaneous;S;Warlock, Wizard, Druid (Coast), Paladin (Ancients), Paladin (Vengeance);#!spells/Level2/Misty Step.md
no ritual,Bard*,Wizard*;Phantasmal Force;2;Illusion (Phantasm);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Bard, Warlock (Archfey), Warlock (Great Old One), Wizard;#!spells/Level2/Phantasmal Force.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Ray of Enfeeblement;2;Necromancy (Black);Death;1 action;;;1 minute;V, S;Cleric (Death), Warlock, Wizard, Cleric (Grave), Cleric (Ambition);#!spells/Level2/Ray of Enfeeblement.md
no conc,no concentration,no ritual,Wizard*;Scorching Ray;2;Evocation;Fire;1 action;;;Instantaneous;V, S, F;Wizard, Cleric (Light), Warlock (Aeonian Flame), Warlock (Fiend);#!spells/Level2/Scorching Ray.md
no ritual,Warlock*,Wizard*;Shadow Blade;2;Illusion (Shadow);Darkness;1 bonus action;Concentration;;Concentration, up to 1 minute;V, S;Warlock, Wizard;#!spells/Level2/Shadow Blade.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Shatter;2;Evocation;Air;1 action;;;Instantaneous;V, S, F;Bard, Warlock, Wizard, Cleric (Tempest), Cleric (Zeal);#!spells/Level2/Shatter.md
Bard*,Cleric*,Ranger*;Silence;2;Illusion (Glamer);Darkness;1 action;Concentration;Ritual;Concentration, up to 10 minutes;V, S;Bard, Cleric, Ranger, Druid (Desert), Warlock (Undying), Warlock (Void);#!spells/Level2/Silence.md
no ritual,Warlock*,Wizard*;Spider Climb;2;Transmutation;Earth;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Warlock, Wizard, Druid (Forest), Druid (Mountain), Druid (Underdark);#!spells/Level2/Spider Climb.md
no ritual,Druid*,Ranger*;Spike Growth;2;Transmutation;Earth;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Cleric (Nature), Druid, Druid (Arctic), Druid (Mountain), Ranger, Warlock (Archfey);#!spells/Level2/Spike Growth.md
no ritual,Bard*,Warlock*,Wizard*;Suggestion;2;Enchantment (Compulsion);Darkness;1 action;Concentration;;Concentration, up to 8 hours;V, F;Bard, Cleric (Knowledge), Warlock, Wizard;#!spells/Level2/Suggestion.md
no ritual,Bard*,Cleric*,Wizard*;Bestow Curse;3;Necromancy (Black);Death;1 action;Concentration;;Concentration, up to 1 minute;V, S;Bard, Cleric, Cleric (Ambition), Paladin (Oathbreaker), Warlock (Great Old One), Wizard;#!spells/Level3/Bestow Curse.md
no conc,no concentration,no ritual,Wizard*;Blink;3;Conjuration (Teleportation);Aether;1 action;;;1 minute;V, S;Cleric (Trickery), Warlock (Archfey), Warlock (Void), Wizard;#!spells/Level3/Blink.md
no ritual,Bard*,Cleric*,Wizard*;Clairvoyance;3;Divination (Scrying);Water;10 minutes;Concentration;;Concentration, up to 10 minutes;V, S, M (a cosmic opal worth at least 100 gp);Bard, Cleric, Warlock (Great Old One), Wizard, Warlock (Seeker);#!spells/Level3/Clairvoyance.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Counterspell;3;Abjuration;Water;1 reaction;;;Instantaneous;S;Warlock, Wizard;#!spells/Level3/Counterspell.md
no conc,no concentration,no ritual,Cleric*,Druid*,Paladin*,Ranger*;Daylight;3;Evocation;Light;1 action;;;1 hour;V, S;Cleric, Cleric (Light), Druid, Druid (Grassland), Paladin, Ranger, Sorcerer (Angel), Warlock (Aeonian Flame);#!spells/Level3/Daylight.md
no conc,no concentration,no ritual,Bard*,Cleric*,Druid*,Paladin*,Warlock*,Wizard*;Dispel Magic;3;Abjuration;Water;1 action;;;Instantaneous;V, S;Bard, Cleric, Cleric (Arcana), Cleric (Trickery), Druid, Paladin, Paladin (Devotion), Warlock, Wizard;#!spells/Level3/Dispel Magic.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Enemies Abound;3;Enchantment (Compulsion);Fire;1 action;;;1 minute;V, S;Bard, Warlock, Wizard;#!spells/Level3/Enemies Abound.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Fear;3;Illusion (Phantasm);Death;1 action;;;1 minute;V, S, F;Bard, Warlock, Wizard, Paladin (Conquest);#!spells/Level3/Fear.md
no conc,no concentration,Bard*,Cleric*,Druid*,Wizard*;Feign Death;3;Necromancy (Black);Death;1 action;;Ritual;1 hour;V, S, F;Bard, Cleric, Druid, Warlock (Undying), Wizard;#!spells/Level3/Feign Death.md
no conc,no concentration,no ritual,Wizard*;Fireball;3;Evocation;Fire;1 action;;;Instantaneous;V, S, F;Cleric (Light), Warlock (Fiend), Wizard, Cleric (Zeal);#!spells/Level3/Fireball.md
no ritual,Warlock*,Wizard*;Fly;3;Transmutation;Air;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Warlock, Wizard;#!spells/Level3/Fly.md
no ritual,Warlock*,Wizard*;Gaseous Form;3;Transmutation;Air;1 action;Concentration;;Concentration, up to 1 hour;V, S, F;Druid (Underdark), Warlock, Wizard, Paladin (Treachery);#!spells/Level3/Gaseous Form.md
no ritual,Warlock*,Wizard*;Haywire;3;Evocation;Aether;1 action;Concentration;;Concentration, up to 1 minute;V, S;Warlock, Wizard, Warlock (Ghost in the Machine);#!spells/Level3/Haywire.md
no ritual,Warlock*;Hunger from Beyond;3;Conjuration (Creation);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Warlock;#!spells/Level3/Hunger from Beyond.md
no ritual,Bard*,Warlock*,Wizard*;Hypnotic Pattern;3;Illusion (Pattern);Light;1 action;Concentration;;Concentration, up to 1 minute;S, M (incense imbued with mystic quartz dust);Bard, Warlock, Wizard;#!spells/Level3/Hypnotic Pattern.md
no ritual,Warlock*,Wizard*;Invisibility to Cameras;3;Illusion (Glamer);Darkness;1 action;Concentration;;Concentration, up to 1 minute;V, S, F;Warlock, Wizard, Warlock (Ghost in the Machine);#!spells/Level3/Invisibility to Cameras.md
no conc,no concentration,Bard*,Wizard*;Kaine's Refuge;3;Evocation;Light;1 minute;;Ritual;8 hours;V, S, F;Bard, Wizard, Warlock (Aeonian Flame);#!spells/Level3/Kaines Refuge.md
no conc,no concentration,no ritual,Cleric*,Paladin*,Warlock*,Wizard*;Magic Circle;3;Abjuration;Water;1 minute;;;1 hour;V, S, M (a component depending on the effect, which the spell consumes);Cleric, Cleric (Arcana), Paladin, Warlock, Wizard;#!spells/Level3/Magic Circle.md
no conc,no concentration,no ritual,Bard*,Warlock*,Wizard*;Major Image;3;Illusion (Figment);Darkness;1 action;;;10 minutes;V, S, F;Bard, Warlock, Wizard;#!spells/Level3/Major Image.md
no ritual,Wizard*;Malcolm's Minute Meteors;3;Conjuration (Creation);Fire;1 action;Concentration;;Concentration, up to 10 minutes;V, S, F;Warlock (Seeker), Wizard;#!spells/Level3/Malcolms Minute Meteors.md
no conc,no concentration,Cleric*,Druid*;Meld into Stone;3;Transmutation;Earth;1 action;;Ritual;8 hours;V, S;Cleric, Druid, Druid (Mountain), Sorcerer (Earth Elemental), Warlock (Archfey);#!spells/Level3/Meld into Stone.md
no conc,no concentration,no ritual,Bard*,Ranger*,Wizard*;Nondetection;3;Abjuration;Darkness;1 action;;;8 hours;V, S, M (apatite dust worth at least 25 gp sprinkled over the target, which the spell consumes);Bard, Cleric (Knowledge), Ranger, Warlock (Void), Wizard;#!spells/Level3/Nondetection.md
no conc,no concentration,no ritual,Bard*,Druid*,Ranger*;Plant Growth;3;Transmutation;Earth;1 action or 8 hours;;;Instantaneous;V, S;Bard, Cleric (Nature), Druid, Druid (Forest), Paladin (Ancients), Ranger, Warlock (Archfey);#!spells/Level3/Plant Growth.md
no conc,no concentration,no ritual,Warlock*,Wizard*;Protection from Ballistics;3;Abjuration;Earth;1 action;;;10 minutes;V, S, F;Warlock, Wizard, Cleric (City);#!spells/Level3/Protection from Ballistics.md
